mode,gamma,delivery_start,raw_cost,D_ch_norm,D_dis_norm,total_charge_MWh,total_discharge_MWh,sat_hours,sat_MWh
dual-price,0.005,2018-08-04 00:00:00+00:00,2041.0516999017568,3.7347021931957745,3.290973072492425,7.688137211618226,7.488198101217529,10,2.7464706792855784
dual-price,0.01,2018-08-04 00:00:00+00:00,2040.748501654843,3.5150023444652123,3.2970998457971175,7.587487995942652,7.398505065965985,10,2.7125431726151232
dispatchability,0.0,2018-08-04 00:00:00+00:00,,41.7638795408399,42.45535657977113,37.564909148799686,34.25805660808544,19,16.370624116823087
dispatchability,0.0001,2018-08-04 00:00:00+00:00,,6.989819041851312,7.082684255637346,29.70583521774524,27.157837063449392,19,6.577919951039037
dispatchability,0.0005,2018-08-04 00:00:00+00:00,,5.0639325497314385,4.6488537936414325,28.548887956114353,26.15692735420774,19,6.559182816163682
dispatchability,0.001,2018-08-04 00:00:00+00:00,,4.465614945697289,3.8584071895678913,27.881445310818044,25.569167685941267,21,6.6426213669420875
dispatchability,0.005,2018-08-04 00:00:00+00:00,,3.4121621820578194,2.4644569023797374,27.643011610706527,25.304243002737145,22,4.8806211964204405
dispatchability,0.01,2018-08-04 00:00:00+00:00,,2.77092658391352,1.8207410601969034,21.364681577482852,20.366397011224482,17,4.056837799978121
single-price,0.0,2018-08-05 00:00:00+00:00,1201.9166396543628,0.0,0.0,10.421052631578949,9.405,0,4.440892098500626e-16
single-price,0.0001,2018-08-05 00:00:00+00:00,1201.9166396552582,2.605573662008753e-10,2.5381430589504515e-11,10.421052631609133,9.40500000002746,0,1.139620892656456e-11
single-price,0.0005,2018-08-05 00:00:00+00:00,1201.9166396702976,8.310979045514405e-09,3.3637263353060086e-10,10.421052632105006,9.405000000435905,0,2.7251528720531417e-10
single-price,0.001,2018-08-05 00:00:00+00:00,1201.9166396804992,1.2410031645218219e-08,4.800344922640792e-10,10.421052632168067,9.405000000484911,0,3.0636915947802383e-10
single-price,0.005,2018-08-05 00:00:00+00:00,1201.9166397130066,1.1008509624010519e-07,3.272062866524333e-10,10.42105263193712,9.40500000029467,0,1.8607353737580033e-10
single-price,0.01,2018-08-05 00:00:00+00:00,1201.916639694386,8.607121185807036e-08,9.109534605771265e-11,10.421052631814058,9.40500000019816,0,1.1824725813105667e-10
dual-price,0.0,2018-08-05 00:00:00+00:00,1674.2649222485027,3.6439332291617363,3.2102650528523573,9.819128812242546,8.900025864992811,4,0.12178851265189757
dual-price,0.0001,2018-08-05 00:00:00+00:00,1674.2649217414732,3.6439332273773846,3.2102650629530145,9.819128817489714,8.900025869710074,4,0.12178850972542096
dual-price,0.0005,2018-08-05 00:00:00+00:00,1674.2649225058963,3.643933233048224,3.2102650409805475,9.81912880387352,8.900025857832787,4,0.12178852180314254
